Filtering the log data using "subsystem CONTAINS "dev.contextify""
Timestamp               Ty Process[PID:TID]
2025-11-14 22:49:44.526 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-INIT] ConversationMonitor initializing
2025-11-14 22:49:44.527 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-INIT] ConversationMonitor ready
2025-11-14 22:49:44.527 Df Contextify[90620:138327f] [dev.contextify:Startup] 🚀 Contextify launched
2025-11-14 22:49:44.535 I  Contextify[90620:13832cb] [dev.contextify:MachineID] Generated new machine ID (stored in Application Support)
2025-11-14 22:49:44.535 I  Contextify[90620:13832cb] [dev.contextify:Warmup] Startup warmup complete - all expensive frameworks pre-initialized
2025-11-14 22:49:44.631 I  Contextify[90620:138327f] [dev.contextify:BookmarkStore] No existing bookmarks file at <private>, starting fresh
2025-11-14 22:49:45.008 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] StartupCoordinator initialized
2025-11-14 22:49:45.008 I  Contextify[90620:138327f] [dev.contextify:Startup] 🔍 Pre-warming LLM health check...
2025-11-14 22:49:45.009 I  Contextify[90620:138327f] [dev.contextify:Projects] 🔍 Initializing projects system at app launch
2025-11-14 22:49:45.009 I  Contextify[90620:138327f] [dev.contextify:Projects] [INIT-BUILD-TYPE] Compiled with APPSTORE_BUILD flag (sandboxed)
2025-11-14 22:49:45.009 I  Contextify[90620:138327f] [dev.contextify:Projects] [INIT-SANDBOX-CHECK] Sandbox.isSandboxed = true
2025-11-14 22:49:45.009 I  Contextify[90620:138327f] [dev.contextify:Projects] [INIT-CONTROLLER] FolderAccessController: present
2025-11-14 22:49:45.009 I  Contextify[90620:138327f] [dev.contextify:Projects] [INIT] Created sandbox access provider (claude: <private>, codex: <private>)
2025-11-14 22:49:45.012 I  Contextify[90620:138327f] [dev.contextify:DatabaseManager] Opening database at: <private>
2025-11-14 22:49:45.039 I  Contextify[90620:138327f] [dev.contextify:DatabaseManager] Database OK: 0 projects
2025-11-14 22:49:45.041 I  Contextify[90620:138327f] [dev.contextify:DatabaseManager] Database opened and validated successfully
2025-11-14 22:49:45.041 I  Contextify[90620:138327f] [dev.contextify:ProjectActivity] ProjectActivity: monitor initialized (id: <private>)
2025-11-14 22:49:45.041 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-ORCH] Using shared TranscriptOrchestrator instance
2025-11-14 22:49:45.042 I  Contextify[90620:138327f] [dev.contextify:Projects] [INIT-DB-STATE] Database has 0 projects, isEmpty: true
2025-11-14 22:49:45.042 I  Contextify[90620:138327f] [dev.contextify:Projects] [WELCOME-DECISION] DB empty = WILL show modal (sandboxed: true)
2025-11-14 22:49:45.042 I  Contextify[90620:138327f] [dev.contextify:Projects] 📋 Empty database detected - showing welcome modal for onboarding
2025-11-14 22:49:45.090 I  Contextify[90620:138327f] [dev.contextify:UIRender] [UIOPT-FIRST-PAINT] content-empty appear (loading)
2025-11-14 22:49:45.134 I  Contextify[90620:138327f] [dev.contextify:ProjectsViewModel] ProjectsViewModel: starting event observation
2025-11-14 22:49:45.134 I  Contextify[90620:138327f] [dev.contextify:ProjectsViewModel] ProjectsViewModel: subscribing to StartupCoordinator updates
2025-11-14 22:49:45.134 I  Contextify[90620:138327f] [dev.contextify:Projects] [WELCOME-TRIGGERED] Welcome modal notification received
2025-11-14 22:49:45.134 I  Contextify[90620:138327f] [dev.contextify:Projects] [WELCOME-STATE] Setting showWelcomeModal = true
2025-11-14 22:49:45.135 I  Contextify[90620:138327f] [dev.contextify:TranscriptOrchestrator] [BACKEND-RESET-START] Resetting display_order to NULL
2025-11-14 22:49:45.135 I  Contextify[90620:138327f] [dev.contextify:TranscriptOrchestrator] [BACKEND-RESET-DONE] Reset display_order → NULL for 0 projects
2025-11-14 22:49:45.135 I  Contextify[90620:138327f] [dev.contextify:TranscriptOrchestrator] [BACKEND-RESET-VERIFY] ✓ All projects have NULL display_order
2025-11-14 22:49:45.135 I  Contextify[90620:138327f] [dev.contextify:Projects] 🔄 Reset display_order for activity-based sorting
2025-11-14 22:49:45.135 I  Contextify[90620:138327f] [dev.contextify:Projects] 🔍 Starting auto-discovery at app launch
2025-11-14 22:49:45.170 I  Contextify[90620:138327f] [dev.contextify:WelcomeModal] [WMODAL-LIFECYCLE] Modal appeared, isDiscovering=false, hasProgress=false
2025-11-14 22:49:45.483 I  Contextify[90620:138327f] [dev.contextify:ProjectsViewModel] Starting project discovery
2025-11-14 22:49:45.483 I  Contextify[90620:13832ee] [dev.contextify:ProjectDiscovery] Starting project discovery
2025-11-14 22:49:45.483 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar starting...
2025-11-14 22:49:45.483 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar: 1 queue provider(s) available, starting observation
2025-11-14 22:49:45.483 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar: hoover observation disabled (prevents AsyncStream multi-consumer issue)
2025-11-14 22:49:45.501 I  Contextify[90620:138327f] [dev.contextify:WelcomeModal] [WMODAL-SPINNER] Showing spinner (discoveryProgress is nil)
2025-11-14 22:49:45.517 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar starting...
2025-11-14 22:49:45.517 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar: 1 queue provider(s) available, starting observation
2025-11-14 22:49:45.517 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar: hoover observation disabled (prevents AsyncStream multi-consumer issue)
2025-11-14 22:49:45.517 I  Contextify[90620:138327f] [dev.contextify:WelcomeModal] [WMODAL-PERMISSIONS] Showing permissions step (App Store build, no authorizations)
2025-11-14 22:49:45.522 I  Contextify[90620:138327f] [dev.contextify:Watcher] Git monitoring disabled (App Store build)
2025-11-14 22:49:45.522 I  Contextify[90620:138327f] [dev.contextify:Lifecycle] 📢 HUDViewModel: .projectRootDidChange src=<private> path=<private> nonce=<private>
2025-11-14 22:49:45.522 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📬 ConversationMonitor: Received .projectRootDidChange notification (object: <private>)
2025-11-14 22:49:45.555 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🔄 Project root changed (legacy notification) - reloading conversation timeline
2025-11-14 22:49:45.558 E  Contextify[90620:138327f] [dev.contextify:ProjectsViewModel] Discovery failed: <private>
2025-11-14 22:49:45.564 I  Contextify[90620:138327f] [dev.contextify:Projects] ✅ Auto-discovery complete
2025-11-14 22:49:45.569 I  Contextify[90620:138327f] [dev.contextify:TranscriptOrchestrator] [DISPLAY-ORDER-SEED] No projects to seed
2025-11-14 22:49:45.573 E  Contextify[90620:138327f] [dev.contextify:Projects] ⚠️  Discovery complete but no projects found
2025-11-14 22:49:45.573 I  Contextify[90620:138327f] [dev.contextify:Projects] [INIT] Skipping FSEvents project directory monitoring in App Store build
2025-11-14 22:49:46.425 I  Contextify[90620:13832ce] [dev.contextify:LLMHealthCheck] LLM health check: PASSED (response: 'I'm sorry, but I cannot comply with')
2025-11-14 22:49:46.425 I  Contextify[90620:138327f] [dev.contextify:AppDelegate] LLM health check: PASSED
2025-11-14 22:49:46.669 I  Contextify[90620:13832e8] [dev.contextify:LLMHealthCheck] LLM health check: PASSED (response: 'I'm sorry, but I cannot comply with')
2025-11-14 22:49:46.669 I  Contextify[90620:138327f] [dev.contextify:Startup] ✅ LLM health check cached
2025-11-14 22:49:46.669 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] 🚀 StartupCoordinator starting...
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] 📁 Resolved project root: /Users/rob/Library/Containers/PeterPym.Contextify.Debug/Data
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-FUNC-START] ensureProjectInDatabase() called
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-TASK-START] Spawning background Task...
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-TASK-EXEC] Task executing on background thread
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-ORCH-START] Creating TranscriptOrchestrator...
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-ORCH-DONE] Orchestrator created in 0ms
2025-11-14 22:49:46.671 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-PROJ-START] Calling getOrCreateProject...
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:TranscriptOrchestrator] Created new project: <private> for path: <private>
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:TranscriptOrchestrator] ✅ Project creation verified: <private>
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-PROJ-DONE] getOrCreateProject returned in 1ms
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-TASK-DONE] Task complete in 1ms
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-TASK-AWAIT] Task.value returned
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-DB-FUNC-DONE] ensureProjectInDatabase() complete in 2ms
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] ✅ Project ID: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.672 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-FUNC-START] resolveGitBranch() called
2025-11-14 22:49:46.673 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-PRIORITY] userInitiated
2025-11-14 22:49:46.673 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-TASK-START] Spawning detached Task...
2025-11-14 22:49:46.673 I  Contextify[90620:13832e8] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-TASK-EXEC] Task executing on background thread
2025-11-14 22:49:46.673 I  Contextify[90620:13832e8] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-FIND-START] Calling GitRepositoryResolver.findGitRoot...
2025-11-14 22:49:46.673 I  Contextify[90620:13832e8] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-FIND-NONE] No git root found in 0ms
2025-11-14 22:49:46.673 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-TASK-AWAIT] Task.value returned
2025-11-14 22:49:46.673 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-GIT-FUNC-DONE] resolveGitBranch() complete in 0ms
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-FUNC-START] publishContext() called
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-DEDUPE] Checking for duplicate...
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-DEDUPE] Not a duplicate, continuing...
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-SIG] Updating lastSignature...
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-SIG] Signature updated in 0ms
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-CURRENT] Setting self.current...
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-CURRENT] Current set in 0ms
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-NOTIF] Posting NotificationCenter notification...
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-NOTIF] Notification posted in 0ms
2025-11-14 22:49:46.675 I  Contextify[90620:138327f] [dev.contextify:StartupCoordinator] [UIOPT-COORD-PUBLISH-FUNC-DONE] publishContext() complete in 0ms
2025-11-14 22:49:46.675 Df Contextify[90620:138327f] [dev.contextify:StartupCoordinator] ✅ StartupCoordinator ready: <private> (id: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify:Startup] ✅ StartupCoordinator started successfully
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ProjectSwitcher: starting
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify:ProjectActivity] ProjectActivity: monitor initialized (id: <private>)
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ✅ ProjectSwitcher: created new activity monitor (id: <private>)
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ✅ ProjectSwitcher: initialized fast-path coordinator
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify:Startup] ✅ ProjectSwitcherState started
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🔄 [SWITCH-START] Project switch to <private> (id: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.676 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [SUMM-MONITOR] ConversationMonitor received context update for: <private> (id: <private>)
2025-11-14 22:49:46.676 I  Contextify[90620:13832cc] [dev.contextify:ProjectDiscovery] Starting project discovery
2025-11-14 22:49:46.677 I  Contextify[90620:138327f] [dev.contextify:Watcher] Git monitoring disabled (App Store build)
2025-11-14 22:49:46.677 I  Contextify[90620:138327f] [dev.contextify:Lifecycle] ✅ HUDViewModel: Updated to project: <private> (branch: <private>)
2025-11-14 22:49:46.677 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-REFRESH] Starting refresh of project list
2025-11-14 22:49:46.677 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORT-START] Querying projects sorted by activity
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORT-QUERY] Got 1 projects from DB
